Version initiale,Version retraitée,Catégorie
Dispositif d'apprentissage du français : permet de gagner en autonomie au quotidien grâce à des ateliers sociolinguistiques et cours de français langue professionnelle,"Des ateliers 2 fois par semaine pour progresser en français, mieux communiquer au quotidien et dans le milieu professionnel. 
Bon à savoir
Une adhésion de 15 € / an à l'association est demandée lors de l'inscription.",Explanation
Dispositif d'apprentissage du français : permet de gagner en autonomie au quotidien grâce à des ateliers sociolinguistiques et cours de français langue professionnelle,"Des ateliers 2 fois par semaine pour progresser en français, mieux communiquer au quotidien et dans le milieu professionnel.",Explanation
Dispositif d'apprentissage du français : permet de gagner en autonomie au quotidien grâce à des ateliers sociolinguistiques et cours de français langue professionnelle,"Des ateliers pour progresser en français, mieux communiquer au quotidien et dans le milieu professionnel.",Substitution
Dispositif d'apprentissage du français : permet de gagner en autonomie au quotidien grâce à des ateliers sociolinguistiques et cours de français langue professionnelle,"Des ateliers pour progresser en français, mieux communiquer au quotidien et dans le milieu professionnel.",Compression
Dispositif d'apprentissage du français : permet de gagner en autonomie au quotidien grâce à des ateliers sociolinguistiques et cours de français langue professionnelle,"Des ateliers pour progresser en français, mieux communiquer au quotidien et dans le milieu professionnel.",Syntactic
Progresser en français,Progresser en français,Transcription
"Apprendre le vocabulaire nécessaire pour comprendre les autres
et s'exprimer en fonction de situations de la vie quotidienne","- Apprendre du vocabulaire, des expressions courantes et utiles.
- Mieux communiquer à l'oral et à l'écrit et se faire comprendre.",Substitution
"Apprendre le vocabulaire nécessaire pour comprendre les autres
et s'exprimer en fonction de situations de la vie quotidienne","- Apprendre du vocabulaire, des expressions courantes et utiles.
- Mieux communiquer à l'oral et à l'écrit et se faire comprendre.",Syntactic
Gagner en autonomie,Gagner en autonomie,Transcription
"Comprendre les différentes démarches administratives de la vie quotidienne, savoir répondre à un courrier, savoir solliciter le bon interlocuteur","- Comprendre les différentes démarches administratives au quotidien : documents, formulaires, factures...
- Répondre à un courrier, savoir quel service contacter...",Syntactic
"Comprendre les différentes démarches administratives de la vie quotidienne, savoir répondre à un courrier, savoir solliciter le bon interlocuteur","- Comprendre les différentes démarches administratives au quotidien : documents, formulaires, factures...
- Répondre à un courrier, savoir quel service contacter...",Substitution
"Comprendre les différentes démarches administratives de la vie quotidienne, savoir répondre à un courrier, savoir solliciter le bon interlocuteur","- Comprendre les différentes démarches administratives au quotidien : documents, formulaires, factures...
- Répondre à un courrier, savoir quel service contacter...",Transposition
"Comprendre les différentes démarches administratives de la vie quotidienne, savoir répondre à un courrier, savoir solliciter le bon interlocuteur","- Comprendre les différentes démarches administratives au quotidien : documents, formulaires, factures...
- Répondre à un courrier, savoir quel service contacter...",Explanation
Se familiariser avec le numérique,Apprendre à utiliser le numérique,Substitution
"Savoir utiliser les mails, maitriser les applications smartphone permettant de réaliser des démarches administratives (CAF, CPAM, France Travail, .). Se familiariser avec l'utilisation de l'ordinateur","- Savoir utiliser un ordinateur et un smartphone : applications
pour faire des démarches administratives : CAF, France Travail...
- Aller sur Internet, créer une adresse mail...",Syntactic
"Savoir utiliser les mails, maitriser les applications smartphone permettant de réaliser des démarches administratives (CAF, CPAM, France Travail, .). Se familiariser avec l'utilisation de l'ordinateur","- Savoir utiliser un ordinateur et un smartphone : applications
pour faire des démarches administratives : CAF, France Travail...
- Aller sur Internet, créer une adresse mail...",Substitution
"Savoir utiliser les mails, maitriser les applications smartphone permettant de réaliser des démarches administratives (CAF, CPAM, France Travail, .). Se familiariser avec l'utilisation de l'ordinateur","- Aller sur Internet, créer une adresse mail...",Explanation
Perfectionner son niveau de français pour travailler,Apprendre le français pour le travail ,Transposition
Perfectionner son niveau de français pour travailler,Apprendre le français pour le travail ,Substitution
"Cours de français langue professionnelle permettant d'apprendre le vocabulaire spécifique à un secteur d'activité, comprendre le monde du travail en France et les droits et devoirs du salarié","- Apprendre le vocabulaire professionnel et connaître les mots utiles d'un métier.
- Comprendre le monde du travail : explications sur les droits et devoirs du salarié.",Syntactic
"Cours de français langue professionnelle permettant d'apprendre le vocabulaire spécifique à un secteur d'activité, comprendre le monde du travail en France et les droits et devoirs du salarié","- Apprendre le vocabulaire professionnel et connaître les mots utiles d'un métier.
- Comprendre le monde du travail : explications sur les droits et devoirs du salarié.",Compression
